Title,Genre,Rating,Votes,Duration (Minutes)
Dedh Bigha Zameen,Family,6.9,740,100
Obraz,Family,7.5,15,95
Baba Yaga spasaet Novyy god,Family,4.4,113,99
Sieger Sein,Family,6.6,168,119
Gina,Family,7.7,21,100
Miracle Mile,Family,8.7,27,82
Carol,Family,8.3,47,115
Chicken Coop,Family,5.8,87,98
Windcatcher,Family,5.3,406,80
14 Days Love,Family,7.5,8,112
The Magic Penguin,Family,3.8,26,89
Planet 7693,Family,7.6,66,110
Treasure Trackers,Family,5.8,151,92
"Robotia, the Movie",Family,8.1,20,86
Niko: Beyond the Northern Lights,Family,6.3,295,86
Daaru Na Peenda Hove,Family,7.7,2300,111
Ole Aale,Family,8.7,406,142
Rajkumar,Family,7.3,2600,145
Our Church Thinks We're Dating,Family,7.5,59,102
BeBe Winans' We Three Kings,Family,6.9,127,90
Ducobu passe au vert!,Family,4.0,124,90
Die Chaosschwestern und Pinguin Paul,Family,5.7,66,100
The Proud Princess,Family,7.1,97,84
Tri kota. Zimnie kanikuly,Family,6.1,27,65
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,Family,6.8,25,71
Paagal vs Kadhal,Family,9.0,2100,111
Håkan Bråkan 2,Family,5.4,127,92
Cup,Family,8.5,65,146
LasseMajas detektivbyrå - Maskoten som försvann,Family,6.0,54,90
The Secret of Pin-Up Island,Family,7.4,92,107
CBeebies Panto: Beauty and the Beast,Family,7.8,16,73
De Bellinga's: Pretpark op stelten,Family,3.1,123,70
A Christmas Miracle,Family,6.0,65,88
Baii Ga,Family,4.2,59,134
Ognivo,Family,5.4,212,105
Palayam PC,Family,5.2,136,118
Chithini,Family,6.0,551,151
G for Gap,Family,7.2,531,103
Luigi's Mansion,Family,6.0,17,60
Si Juki the Movie: Harta Pulau Monyet,Family,6.0,114,107
Laggam,Family,8.5,5100,130
Brother,Family,6.3,2300,140
The Hedgehog,Family,6.7,665,104
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Family,6.8,14,90
Ghudchadi,Family,4.2,548,113
Goldbeak,Family,4.9,126,94
Tartinijev kljuc,Family,7.8,21,115
Askepote,Family,3.5,80,72
Masha i Medved v kino: Park chudes,Family,7.0,16,58
Heavens: The Boy and His Robot,Family,6.3,21,98
Domovyonok Kuzya,Family,6.5,801,90
Steal the Naughty List,Family,6.7,113,90
Rocket Club: Across the Cosmos,Family,8.2,18,68
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,Family,7.4,71,70
Grüsse vom Mars,Family,6.5,18,85
Thookudurai,Family,4.3,2300,125
Vikaasaparva,Family,8.9,539,134
Vaar Tahevaar,Family,8.0,278,127
When the World Met Miss Probinsyana,Family,9.5,42,155
Christmas Carole,Family,4.3,73,93
De Club van Sinterklaas Film: Het Grote Sneeuwavontuur,Family,5.8,50,79
Krispy Rishtey,Family,6.6,69,133
Mees Kees op eigen benen,Family,6.1,31,82
Double Tuckerr,Family,5.0,1200,120
Porch Pirates,Family,5.0,100,107
Super papa,Family,5.2,110,90
Hashtag Tadev lagnam,Family,6.5,129,118
Pui Pui Molcar the Movie: Molmax,Family,7.0,7,69
"Akiko, der fliegende Affe",Family,8.4,10,70
Daye: Seret ahl el Daye,Family,7.6,14,104
Aanandhapuram Diaries,Family,7.1,2500,115
Dikkie Dik en de Verdwenen Knuffel,Family,7.2,125,62
Kardes Takimi,Family,3.5,536,95
Spirit of Friendship,Family,4.3,73,85
Wedding Diaries,Family,9.0,2000,121
Luv Ki Arrange Marriage,Family,3.9,4500,135
Feather Christmas,Family,5.2,120,94
Our Christmas House,Family,5.4,44,77
Ne odna doma,Family,4.1,79,79
Hope's Hollywood Christmas,Family,8.9,28,90
Double Engine,Family,5.6,114,106
Max und die wilde 7: Die Geister-Oma,Family,6.2,46,90
Piraty galaktiki Barrakuda,Family,4.4,78,92
Woof Woof Daddy,Family,6.5,39,105
Igrisca ne damo!,Family,6.9,26,79
Animal Tales of Christmas Magic,Family,6.8,50,72
Awesomest Christmas Ever,Family,6.8,20,78
Lek Asavi Tar Ashi,Family,5.5,13,143
Vasilisa i khraniteli vremeni,Family,3.1,66,98
Princezna na hrásku,Family,5.6,63,80
Mr. Santa: A Christmas Extravaganza,Family,8.5,16,98
Kattis Gang,Family,8.2,402,144
Mansarra,Family,7.7,20,138
The Land of Morning Calm,Family,6.1,19,113
DeAr,Family,5.1,1300,132
Al Eid Eiden,Family,6.1,11,110
De Legende van Familie Vos,Family,5.7,58,81
Oyunda Kal: Eglence Arenasi,Family,2.7,35,92
A Holiday for Harmony,Family,3.6,35,120
Nadanna Sambhavam,Family,5.8,1400,120
Manyunya. Priklyucheniya v derevne,Family,5.8,113,84
"Merry Birthday, Happy Christmas",Family,4.8,114,84
My Dear Donga,Family,5.7,160,132
Chitti - Potti,Family,9.0,1700,150
Petualangan Anak Penangkap Hantu,Family,6.0,23,99
Uma & Haggen: Mitos,Family,7.4,44,94
Last Defenders of Monogamy,Family,5.3,385,84
Mountain Boy,Family,8.2,17,93
De Grote Sinterklaasfilm - Stampij in de bakkerij,Family,3.0,76,75
Gabru Gang,Family,8.7,214,123
Haydi Tut Elimi,Family,6.7,25,113
Idu Entha Lokavayya,Family,6.6,7,120
Manyunya. Priklyucheniya v Moskve,Family,7.3,106,87
The Truth: The Journey Within,Family,7.2,8,91
Give 'Em Hell Honey!,Family,5.8,10,94
Malyshariki. Den rozhdeniya,Family,6.0,27,52
Smotri na menya!,Family,5.6,63,120
Inanimate Insanity II: The Movie,Family,8.9,226,106
Odna doma. Velikolepnaya pyatyorka,Family,3.9,38,85
Semeynyy perepolokh,Family,4.8,58,87
Tri bogatyrya. Ni dnya bez podviga,Family,5.7,62,61
Gowri,Family,7.5,4100,130
Padmavyuham Lo Chakradhari,Family,7.4,1700,110
Moy dikiy drug,Family,6.7,52,100
Papu mame zaverni,Family,3.5,65,106
Little Town,Family,6.8,11,90
A Game of Two Halves,Family,7.3,24,100
Príncipe Lu e a Lenda do Dragão,Family,4.2,27,90
Give You a Candy,Family,5.4,14,134
Scooped,Family,5.2,43,84
A Hero's Journey: The Making of Percy Jackson and the Olympians,Family,7.5,246,50
Iwájú: A Day Ahead,Family,6.8,73,71
Vovó Ninja,Family,5.2,21,96
Tayna Chyornoy Ruki,Family,5.7,22,84
Neposlushniki,Family,4.9,93,115
Arne Alligator och djungelkompisarna,Family,4.6,48,61
Moyo sobache delo,Family,5.2,41,77
"7 dney, 7 nochey",Family,6.3,402,98
YA - medved,Family,4.9,61,97
The Christmas Room,Family,6.4,52,99
Chhota Bheem and the Curse of Damyaan,Family,4.8,2300,145
Perfekta: Uma Aventura da Escola de Gênios,Family,5.8,15,92
Wholesome Grove,Family,7.0,8,99
Vozvrashchenie popugaya Keshi,Family,4.1,58,93
Novyy god v Beryozovke,Family,7.1,97,94
Mastaani,Family,9.4,25,150
Eine zweite Chance,Family,8.6,39,91
Titip Surat Untuk Tuhan,Family,6.5,38,81
Kallu Compound 1995,Family,8.2,2000,140
SDL A Batalha Musical,Family,7.3,40,102
Childhood Tales,Family,7.3,20,63
Oti Uttam,Family,5.2,202,137
Bob a Bobek ve filmu: Na stope Mrkvojeda,Family,8.7,18,80
My Dad Is an Alien,Family,8.0,18,96
Mukhadrakon,Family,5.3,16,109
Korporatsiya Morozov,Family,5.5,30,83
Prinsessa Pikkiriikki,Family,6.1,39,75
Mezhdu nami,Family,5.1,35,93
Udanadi Mangalyam,Family,2.9,24,90
Appa I Love You,Family,8.7,542,145
Once Upon a Christmas,Family,6.8,13,115
V banyu!,Family,5.2,69,99
Pinnil Oral,Family,6.0,113,127
Vindu Bhojanam,Family,7.2,54,103
Novogodnee chudo,Family,5.5,14,73
"Heinähattu, Vilttitossu ja kana",Family,4.9,58,77
Bremenskie muzykanty,Family,4.6,661,115
Fanzo Movie,Family,7.9,10,104
Moy lyubimyy chempion,Family,2.3,419,95
Kaagada,Family,8.8,13,149
Let's Go! Anpanman: Baikinman and Lulun,Family,6.5,7,64
Bitva pap,Family,4.5,24,79
A House Without a Father,Family,6.2,34,61
Boom!,Family,8.3,10,90
Haddhu Ledhu Raa,Family,7.3,2000,112
Kazhdyy mechtaet o sobake,Family,5.2,31,90
"Poymay sobaku, esli smozhesh",Family,3.5,36,96
Uzhaipalar Thinam,Family,4.3,7,122
Omar v bolshom kino,Family,5.8,26,86
A Christmas Reunion,Family,4.9,11,64
Klaantha,Family,6.2,518,107
Skazochnyy patrul. Shou prodolzhayetsya,Family,7.2,11,65
Person of the Year,Family,5.8,11,100
Nebesko,Family,5.2,10,73
Uparwala & Sons,Family,9.2,322,126
Suvorovets 1944,Family,6.1,7,90
Khelaghar Bandhte Legechi,Family,8.0,7,100
Selebryata,Family,3.6,20,93
Mallemogga,Family,9.0,11,132
LUDA,Family,7.2,6,86
Fien & Teun Circus op de Boerderij,Family,5.6,11,77
Iyus Jenius,Family,9.0,7,82
Borjatri,Family,8.4,6,72
Gyakorlat teszi a mestert,Family,6.1,15,46
Beyaz Zenciler: Yapim Asamasi,Family,8.6,5,55
Tomari Sathe,Family,8.0,8,54
Salamat Rahe Dostana Hamara (SRDH),Family,9.3,87,60
