Title,Genre,Rating,Votes,Duration (Minutes)
"True Chronicles of the Blida Joinville Psychiatric Hospital in the Last Century, when Dr Frantz Fanon Was Head of the Fifth Ward between 1953 and 1956",History,7.1,27,90
North Korea: Dark Secrets,History,5.7,80,79
The Birth of Korea,History,5.1,129,101
Wilhelm Gustloff,History,8.7,8,110
Meet the Roman Emperor with Mary Beard,History,7.7,40,59
Last Flamingo of the Red Summer Sunset,History,8.8,13,80
Pirates & Slaves,History,5.8,6,53
I am Al Ittihad,History,4.9,226,90
"Colón ADN, su verdadero origen",History,6.2,49,106
Sragaal,History,8.4,19,140
Nebesko,History,5.2,10,73
Piri Reis: The Incredible Chart,History,6.8,21,138
Vremya vernutsya,History,8.0,10,100
C'era una volta il Derby Club,History,7.4,16,90
Churchill's Forgotten War,History,7.4,9,47
Los indomables,History,6.5,9,106
Fast Track: Taking on the Speedway,History,9.5,9,35
Krigsvarsleren,History,7.2,6,55
Triumf,History,6.5,9,113
Ek Chilte Jol,History,9.3,12,119
Die Mutigen 56 - Deutschlands längster Streik,History,6.6,10,90
Xun zhao tang de zhang,History,7.8,16,93
"Georges Pompidou, la cruauté du pouvoir",History,6.2,6,104
The Man Outside,History,7.4,10,70
The Canal Map of Britain,History,6.8,10,59
On Moral Grounds,History,8.4,7,74
